******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	ID	Unk1	Cat	Index	Rank	Opt. Num	Unk2	Opt. Rate	RON	Opt. Value 0	Opt. Value 1	Opt. Value 2	Opt. Value 3	Opt. Value 4	Opt. Value 5	Opt. Value 6	Opt. Value 7	Opt. Value 8	Opt. Value 9	Opt. Value 10	Opt. Rate 0	Opt. Rate 1	Opt. Rate 2	Opt. Rate 3	Opt. Rate 4	Opt. Rate 5	Opt. Rate 6	Opt. Rate 7	Opt. Rate 8	Opt. Rate 9	Opt. Rate 10	Name	Opt. Type
	0	0	6365	12	221	1	1	12	10000	101	30	33	38	45	54	65	78	93	113	138	168	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Elemental damage +%d	0
	1	10	6365	12	221	2	1	0	2000	111	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Fire Element	1
	2	11	6365	12	221	2	2	0	2000	112	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Water Element	1
	3	12	6365	12	221	2	3	0	2000	113	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Earth Element	1
	4	13	6365	12	221	2	4	0	2000	114	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Wind Element	1
	5	14	6365	12	221	2	5	0	2000	115	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Attack Against Dark Element	1
	6	20	6365	12	221	3	1	0	5000	121	30	35	43	54	66	80	97	117	142	172	207	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Attack Dmg (in PvP) +%d	0
	7	21	6365	12	221	3	2	0	5000	122	30	35	43	54	66	80	97	117	142	172	207	0	8000	7500	7000	6500	6000	5500	5000	4500	4000	4000	Elemental Attack Dmg (in Raids) +%d	0
	8	30	6365	12	221	4	1	0	5000	133	5	6	7	8	10	12	14	17	20	23	27	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Damage (in Raids) +%d%%	1
	9	31	6365	12	221	4	2	0	5000	134	5	6	7	8	10	12	14	17	20	23	27	0	7500	7000	6500	6000	5500	5000	4500	4000	3500	3500	Elemental Damage (in PVP) +%d%%	1
	10	40	6365	12	221	5	1	0	10000	143	3	4	5	6	8	10	12	15	18	21	25	0	7000	6500	6000	5500	5000	4500	4000	3500	3000	3000	Elemental Damage +%d%%	1
	11	50	6375	12	231	1	1	0	10000	201	10	13	17	22	28	35	43	52	62	73	85	0	9000	8500	8000	7500	7000	6500	6000	5500	5000	5000	Additional Elemental Defense +%d	0
	12	60	6375	12	231	2	1	0	2000	211	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Fire Element	1
	13	61	6375	12	231	2	2	0	2000	212	5	6	7	8	9	10	12	14	16	18	20	0	8500	8000	7500	7000	6500	6000	5500	5000	4500	4500	+%d%% Defense Against Water Element	1
