******** File Generated by Toolkit.Premium coded by © Bigman - a.k.a Daniel Raban ********
~~~~~~~~ This file is best viewed in Microsoft Office Excel ~~~~~~~~
	LineIndex	v0	v1	v2	v3	Cat	v5	Index	v7	Grade	Name	Opt. Num 1	Opt. Num 2	Opt. Num 3	Opt. Num 4	Opt. Num 5	Opt. Num 6	Opt. Num 7	v17	v18
	0	200	24	0	0	12	1	200	0	1	Muren's Book of Magic	0	0	0	0	0	0	0	0	0
	1	201	24	0	0	12	1	201	0	1	Scroll of Etramu	0	0	0	0	0	0	0	0	0
	2	202	24	0	0	12	1	202	0	1	Empire Guardian's Iron Wall Sh	0	0	0	0	0	0	0	0	0
	3	203	24	0	0	12	1	203	0	1	Empire Guardian's Iron Wall Sh	2	0	0	0	0	0	0	0	0
	4	204	24	0	0	12	1	204	0	1	Hero's Potion	0	0	0	0	0	0	0	0	0
	5	205	24	0	0	12	5	205	0	1	Hero's Potion	3	0	0	0	0	0	0	0	0
	6	206	24	0	0	12	4	206	0	1	Gladiator's Dagger	0	0	0	0	0	0	0	0	0
	7	207	24	0	0	12	4	207	0	1	Gladiator's Dagger	1	0	0	0	0	0	0	0	0
	8	208	24	0	0	12	4	208	0	2	Kundun's Blade of Madness	4	3	0	0	0	0	0	0	0
	9	209	24	0	0	12	3	209	0	2	Kundun's Magic Scroll	5	3	0	0	0	0	0	0	0
	10	210	24	0	0	12	3	210	0	2	Empire Guardians' Bastion	4	6	0	0	0	0	0	0	0
	11	211	24	0	0	12	3	211	0	2	Icarus' Ancient Tome	5	6	0	0	0	0	0	0	0
	12	212	24	0	0	12	2	212	0	3	Arcana Book of Prophesies	7	3	0	0	0	0	0	0	0
	13	213	24	0	0	12	2	213	0	3	Antonias' Sword	7	4	0	0	0	0	0	0	0
	14	214	24	0	0	12	2	214	0	3	Kundun's Sealed Book	7	5	0	0	0	0	0	0	0
